feature_name,clinical_domain,source_table,source_column,transformation,measurement_window,timestamp_used,available_by_discharge,billing_derived,postdischarge_or_forward_looking,missingness_overall,missingness_by_partition,missingness_by_race_group,reason_for_inclusion_or_exclusion
elix_depression,Diagnosis / coding,diagnoses_icd,elix_depression,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
primary_dx_chapter,Diagnosis / coding,diagnoses_icd,primary_dx_chapter,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_vanwalraven_score,Diagnosis / coding,diagnoses_icd,elix_vanwalraven_score,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
apr_drg_severity,Diagnosis / coding,drgcodes,apr_drg_severity,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
apr_drg_mortality,Diagnosis / coding,drgcodes,apr_drg_mortality,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
cardiac_surgery_flag,Orders / operations,poe,cardiac_surgery_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
major_surgery_flag,Orders / operations,poe,major_surgery_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
transfusion_flag,Admission / stay context,admissions/patients,transfusion_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
invasive_vent_flag,Admission / stay context,admissions/patients,invasive_vent_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
arterial_line_flag,Admission / stay context,admissions/patients,arterial_line_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
central_line_flag,Admission / stay context,admissions/patients,central_line_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
picc_line_flag,Admission / stay context,admissions/patients,picc_line_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_urine_measurements,Admission / stay context,admissions/patients,n_urine_measurements,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
oliguria_flag,Admission / stay context,admissions/patients,oliguria_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_discharge_drugs,Medications,pharmacy/emar,n_discharge_drugs,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
severe_polypharmacy,Medications,pharmacy/emar,severe_polypharmacy,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
opioid_at_discharge,Admission / stay context,admissions/patients,opioid_at_discharge,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
anticoag_at_discharge,Admission / stay context,admissions/patients,anticoag_at_discharge,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
insulin_at_discharge,Admission / stay context,admissions/patients,insulin_at_discharge,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
diuretic_at_discharge,Admission / stay context,admissions/patients,diuretic_at_discharge,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_order_types,Orders / operations,poe,n_order_types,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
orders_per_day,Orders / operations,poe,orders_per_day,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_distinct_providers,Orders / operations,poe,n_distinct_providers,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_lab_orders,Laboratory / physiology,labevents,n_lab_orders,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_consult_orders,Orders / operations,poe,n_consult_orders,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_nursing_orders,Orders / operations,poe,n_nursing_orders,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_procedure_orders,Diagnosis / coding,procedures_icd,n_procedure_orders,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
n_diet_orders,Orders / operations,poe,n_diet_orders,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_discontinued_orders,Orders / operations,poe,n_discontinued_orders,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
order_discontinuation_rate,Orders / operations,poe,order_discontinuation_rate,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_late_orders,Orders / operations,poe,n_late_orders,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
late_order_rate,Orders / operations,poe,late_order_rate,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_hcpcs_events,Diagnosis / coding,hcpcsevents,n_hcpcs_events,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
pt_ot_flag,Admission / stay context,admissions/patients,pt_ot_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
hcpcs_dialysis_flag,Diagnosis / coding,hcpcsevents,hcpcs_dialysis_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
hcpcs_transfusion_flag,Diagnosis / coding,hcpcsevents,hcpcs_transfusion_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
dme_flag,Admission / stay context,admissions/patients,dme_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_emar_details,Medications,pharmacy/emar,n_emar_details,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_incomplete_doses,Admission / stay context,admissions/patients,n_incomplete_doses,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
incomplete_dose_rate,Admission / stay context,admissions/patients,incomplete_dose_rate,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_iv_administrations,Medications,admissions/patients,n_iv_administrations,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
iv_admin_rate,Medications,admissions/patients,iv_admin_rate,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_distinct_routes,Admission / stay context,admissions/patients,n_distinct_routes,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_datetime_events,Admission / stay context,admissions/patients,n_datetime_events,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_distinct_dt_items,Admission / stay context,admissions/patients,n_distinct_dt_items,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_restraint_events,Admission / stay context,admissions/patients,n_restraint_events,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_foley_events,Admission / stay context,admissions/patients,n_foley_events,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_drain_events,Admission / stay context,admissions/patients,n_drain_events,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_intubation_events,Admission / stay context,admissions/patients,n_intubation_events,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_skin_wound_events,Admission / stay context,admissions/patients,n_skin_wound_events,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_ingredient_events,Admission / stay context,admissions/patients,n_ingredient_events,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_distinct_ingredients,Admission / stay context,admissions/patients,n_distinct_ingredients,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
tpn_flag,Admission / stay context,admissions/patients,tpn_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
total_dextrose_ml,Admission / stay context,admissions/patients,total_dextrose_ml,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
iv_potassium_flag,Laboratory / physiology,labevents,iv_potassium_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
iv_magnesium_flag,Medications,admissions/patients,iv_magnesium_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
vasopressor_ingredient_flag,Admission / stay context,admissions/patients,vasopressor_ingredient_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
sedation_flag,Admission / stay context,admissions/patients,sedation_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
total_volume_infused_ml,Admission / stay context,admissions/patients,total_volume_infused_ml,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
admit_month,Admission / stay context,admissions/patients,admit_month,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
admit_day_of_week,Admission / stay context,admissions/patients,admit_day_of_week,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
cci_score_total,Diagnosis / coding,diagnoses_icd,cci_score_total,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
log_los_days,Admission / stay context,admissions/patients,log_los_days,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
log_n_labs,Laboratory / physiology,labevents,log_n_labs,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
lab_abnormal_rate,Laboratory / physiology,labevents,lab_abnormal_rate,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
infection_flag,Admission / stay context,admissions/patients,infection_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
albumin_x_los,Laboratory / physiology,labevents,albumin_x_los,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
los_x_n_diagnoses,Diagnosis / coding,diagnoses_icd,los_x_n_diagnoses,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
prior_admits_x_comorbidity,Prior utilization,diagnoses_icd,prior_admits_x_comorbidity,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
n_meds_x_age,Medications,pharmacy/emar,n_meds_x_age,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
creatinine_x_bun,Laboratory / physiology,labevents,creatinine_x_bun,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
bun_creatinine_ratio,Laboratory / physiology,labevents,bun_creatinine_ratio,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
severity_composite,Diagnosis / coding,diagnoses_icd,severity_composite,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
is_readmission_90d,Prior utilization,admissions/patients,is_readmission_90d,see provenance audit / repo,prior 90d,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
time_since_last_discharge,Prior utilization,admissions/patients,time_since_last_discharge,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
prior_readmission_count,Prior utilization,admissions/patients,prior_readmission_count,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
orders_per_provider,Orders / operations,poe,orders_per_provider,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
med_orders_ratio,Medications,pharmacy/emar,med_orders_ratio,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
consult_per_day,Admission / stay context,admissions/patients,consult_per_day,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
clinical_complexity,Admission / stay context,diagnoses_icd,clinical_complexity,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
late_order_burden,Orders / operations,poe,late_order_burden,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
provider_fragmentation_x_los,Orders / operations,poe,provider_fragmentation_x_los,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
primary_dx_chapter_te,Diagnosis / coding,diagnoses_icd,primary_dx_chapter_te,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
prior_admits_6m_sq,Prior utilization,admissions/patients,prior_admits_6m_sq,see provenance audit / repo,prior 6m,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
discharge_location_te,Admission / stay context,admissions/patients,discharge_location_te,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
prior_admits_x_age,Prior utilization,admissions/patients,prior_admits_x_age,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
drg_code_te,Diagnosis / coding,drgcodes,drg_code_te,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
renal_risk_x_age,Demographics,admissions/patients,renal_risk_x_age,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
freq_x_recency,Prior utilization,admissions/patients,freq_x_recency,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
high_risk_meds_x_age,Medications,pharmacy/emar,high_risk_meds_x_age,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
orders_last_6h,Laboratory / physiology,poe,orders_last_6h,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
last_drg_dispo_te,Laboratory / physiology,drgcodes,last_drg_dispo_te,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
los_trend_x_prior_6m,Prior utilization,admissions/patients,los_trend_x_prior_6m,see provenance audit / repo,prior 6m,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
bmi_last,Laboratory / physiology,omr,bmi_last,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.3898,"{""train"": 0.3848, ""val"": 0.3893, ""test"": 0.3849}","{""White"": 0.3924, ""Black"": 0.3054}",eligible
orders_first_24h,Orders / operations,poe,orders_first_24h,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
severity_x_readmit,Diagnosis / coding,diagnoses_icd,severity_x_readmit,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
severity_x_lab_abnormal,Laboratory / physiology,diagnoses_icd,severity_x_lab_abnormal,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
max_unit_los_days,Admission / stay context,admissions/patients,max_unit_los_days,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
anemia_x_prior_admits,Prior utilization,admissions/patients,anemia_x_prior_admits,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
